datetime,price
2025-04-30 22:00:00+00:00,92.95
2025-04-30 22:15:00+00:00,91.575
2025-04-30 22:30:00+00:00,90.2
2025-04-30 22:45:00+00:00,88.825
2025-04-30 23:00:00+00:00,87.45
2025-04-30 23:15:00+00:00,87.07000000000001
2025-04-30 23:30:00+00:00,86.69
2025-04-30 23:45:00+00:00,86.31
2025-05-01 00:00:00+00:00,85.93
2025-05-01 00:15:00+00:00,86.1075
2025-05-01 00:30:00+00:00,86.285
2025-05-01 00:45:00+00:00,86.4625
2025-05-01 01:00:00+00:00,86.64
2025-05-01 01:15:00+00:00,86.455
2025-05-01 01:30:00+00:00,86.27000000000001
2025-05-01 01:45:00+00:00,86.08500000000001
2025-05-01 02:00:00+00:00,85.9
2025-05-01 02:15:00+00:00,84.60000000000001
2025-05-01 02:30:00+00:00,83.30000000000001
2025-05-01 02:45:00+00:00,82.0
2025-05-01 03:00:00+00:00,80.7
2025-05-01 03:15:00+00:00,82.3375
2025-05-01 03:30:00+00:00,83.975
2025-05-01 03:45:00+00:00,85.6125
2025-05-01 04:00:00+00:00,87.25
2025-05-01 04:15:00+00:00,87.28999999999999
2025-05-01 04:30:00+00:00,87.33
2025-05-01 04:45:00+00:00,87.37
2025-05-01 05:00:00+00:00,87.41
2025-05-01 05:15:00+00:00,86.85249999999999
2025-05-01 05:30:00+00:00,86.295
2025-05-01 05:45:00+00:00,85.73750000000001
2025-05-01 06:00:00+00:00,85.18
2025-05-01 06:15:00+00:00,63.885000000000005
2025-05-01 06:30:00+00:00,42.59
2025-05-01 06:45:00+00:00,21.295
2025-05-01 07:00:00+00:00,0.0
2025-05-01 07:15:00+00:00,-0.75
2025-05-01 07:30:00+00:00,-1.5
2025-05-01 07:45:00+00:00,-2.25
2025-05-01 08:00:00+00:00,-3.0
2025-05-01 08:15:00+00:00,-12.275
2025-05-01 08:30:00+00:00,-21.55
2025-05-01 08:45:00+00:00,-30.825000000000003
2025-05-01 09:00:00+00:00,-40.1
2025-05-01 09:15:00+00:00,-57.0925
2025-05-01 09:30:00+00:00,-74.08500000000001
2025-05-01 09:45:00+00:00,-91.0775
2025-05-01 10:00:00+00:00,-108.07
2025-05-01 10:15:00+00:00,-116.6575
2025-05-01 10:30:00+00:00,-125.245
2025-05-01 10:45:00+00:00,-133.83249999999998
2025-05-01 11:00:00+00:00,-142.42
2025-05-01 11:15:00+00:00,-136.33999999999995
2025-05-01 11:30:00+00:00,-130.26
2025-05-01 11:45:00+00:00,-124.18
2025-05-01 12:00:00+00:00,-118.1
2025-05-01 12:15:00+00:00,-101.0725
2025-05-01 12:30:00+00:00,-84.045
2025-05-01 12:45:00+00:00,-67.01750000000001
2025-05-01 13:00:00+00:00,-49.99
2025-05-01 13:15:00+00:00,-38.785
2025-05-01 13:30:00+00:00,-27.58
2025-05-01 13:45:00+00:00,-16.375
2025-05-01 14:00:00+00:00,-5.17
2025-05-01 14:15:00+00:00,7.682500000000001
2025-05-01 14:30:00+00:00,20.535000000000004
2025-05-01 14:45:00+00:00,33.3875
2025-05-01 15:00:00+00:00,46.24
2025-05-01 15:15:00+00:00,58.7225
2025-05-01 15:30:00+00:00,71.205
2025-05-01 15:45:00+00:00,83.6875
2025-05-01 16:00:00+00:00,96.17
2025-05-01 16:15:00+00:00,104.595
2025-05-01 16:30:00+00:00,113.02
2025-05-01 16:45:00+00:00,121.445
2025-05-01 17:00:00+00:00,129.87
2025-05-01 17:15:00+00:00,138.6725
2025-05-01 17:30:00+00:00,147.47500000000002
2025-05-01 17:45:00+00:00,156.2775
2025-05-01 18:00:00+00:00,165.08
2025-05-01 18:15:00+00:00,155.485
2025-05-01 18:30:00+00:00,145.89
2025-05-01 18:45:00+00:00,136.29500000000002
2025-05-01 19:00:00+00:00,126.7
2025-05-01 19:15:00+00:00,121.24
2025-05-01 19:30:00+00:00,115.78
2025-05-01 19:45:00+00:00,110.32
2025-05-01 20:00:00+00:00,104.86
2025-05-01 20:15:00+00:00,101.3675
2025-05-01 20:30:00+00:00,97.875
2025-05-01 20:45:00+00:00,94.3825
2025-05-01 21:00:00+00:00,90.89
2025-05-01 21:15:00+00:00,92.1675
2025-05-01 21:30:00+00:00,93.445
2025-05-01 21:45:00+00:00,94.7225
2025-05-01 22:00:00+00:00,96.0
2025-05-01 22:15:00+00:00,95.05
2025-05-01 22:30:00+00:00,94.1
2025-05-01 22:45:00+00:00,93.15
2025-05-01 23:00:00+00:00,92.2
