datetime,price
2025-12-24 23:00:00+00:00,61.2
2025-12-24 23:15:00+00:00,57.34
2025-12-24 23:30:00+00:00,55.91
2025-12-24 23:45:00+00:00,58.32
2025-12-25 00:00:00+00:00,52.06
2025-12-25 00:15:00+00:00,52.62
2025-12-25 00:30:00+00:00,52.89
2025-12-25 00:45:00+00:00,52.39
2025-12-25 01:00:00+00:00,54.17
2025-12-25 01:15:00+00:00,52.6
2025-12-25 01:30:00+00:00,51.65
2025-12-25 01:45:00+00:00,51.27
2025-12-25 02:00:00+00:00,50.86
2025-12-25 02:15:00+00:00,49.31
2025-12-25 02:30:00+00:00,48.71
2025-12-25 02:45:00+00:00,49.14
2025-12-25 03:00:00+00:00,48.67
2025-12-25 03:15:00+00:00,47.69
2025-12-25 03:30:00+00:00,48.13
2025-12-25 03:45:00+00:00,47.72
2025-12-25 04:00:00+00:00,48.43
2025-12-25 04:15:00+00:00,48.28
2025-12-25 04:30:00+00:00,45.21
2025-12-25 04:45:00+00:00,45.65
2025-12-25 05:00:00+00:00,43.28
2025-12-25 05:15:00+00:00,46.64
2025-12-25 05:30:00+00:00,46.66
2025-12-25 05:45:00+00:00,43.42
2025-12-25 06:00:00+00:00,45.1
2025-12-25 06:15:00+00:00,49.09
2025-12-25 06:30:00+00:00,54.96
2025-12-25 06:45:00+00:00,54.25
2025-12-25 07:00:00+00:00,58.91
2025-12-25 07:15:00+00:00,61.37
2025-12-25 07:30:00+00:00,64.08
2025-12-25 07:45:00+00:00,58.25
2025-12-25 08:00:00+00:00,67.6
2025-12-25 08:15:00+00:00,65.45
2025-12-25 08:30:00+00:00,64.08
2025-12-25 08:45:00+00:00,57.85
2025-12-25 09:00:00+00:00,57.92
2025-12-25 09:15:00+00:00,49.5
2025-12-25 09:30:00+00:00,45.7
2025-12-25 09:45:00+00:00,49.2
2025-12-25 10:00:00+00:00,45.68
2025-12-25 10:15:00+00:00,41.64
2025-12-25 10:30:00+00:00,44.07
2025-12-25 10:45:00+00:00,46.77
2025-12-25 11:00:00+00:00,49.97
2025-12-25 11:15:00+00:00,45.96
2025-12-25 11:30:00+00:00,42.28
2025-12-25 11:45:00+00:00,41.66
2025-12-25 12:00:00+00:00,39.0
2025-12-25 12:15:00+00:00,39.54
2025-12-25 12:30:00+00:00,43.34
2025-12-25 12:45:00+00:00,54.88
2025-12-25 13:00:00+00:00,46.55
2025-12-25 13:15:00+00:00,59.32
2025-12-25 13:30:00+00:00,64.5
2025-12-25 13:45:00+00:00,76.22
2025-12-25 14:00:00+00:00,69.75
2025-12-25 14:15:00+00:00,78.16
2025-12-25 14:30:00+00:00,89.96
2025-12-25 14:45:00+00:00,94.14
2025-12-25 15:00:00+00:00,84.65
2025-12-25 15:15:00+00:00,82.17
2025-12-25 15:30:00+00:00,93.72
2025-12-25 15:45:00+00:00,94.84
2025-12-25 16:00:00+00:00,86.93
2025-12-25 16:15:00+00:00,93.92
2025-12-25 16:30:00+00:00,96.77
2025-12-25 16:45:00+00:00,97.36
2025-12-25 17:00:00+00:00,95.15
2025-12-25 17:15:00+00:00,95.13
2025-12-25 17:30:00+00:00,94.03
2025-12-25 17:45:00+00:00,92.75
2025-12-25 18:00:00+00:00,92.18
2025-12-25 18:15:00+00:00,92.24
2025-12-25 18:30:00+00:00,91.22
2025-12-25 18:45:00+00:00,92.91
2025-12-25 19:00:00+00:00,95.9
2025-12-25 19:15:00+00:00,96.42
2025-12-25 19:30:00+00:00,87.64
2025-12-25 19:45:00+00:00,84.8
2025-12-25 20:00:00+00:00,89.78
2025-12-25 20:15:00+00:00,95.4
2025-12-25 20:30:00+00:00,93.6
2025-12-25 20:45:00+00:00,89.03
2025-12-25 21:00:00+00:00,94.59
2025-12-25 21:15:00+00:00,95.78
2025-12-25 21:30:00+00:00,96.76
2025-12-25 21:45:00+00:00,93.06
2025-12-25 22:00:00+00:00,94.29
2025-12-25 22:15:00+00:00,91.1
2025-12-25 22:30:00+00:00,90.53
2025-12-25 22:45:00+00:00,88.01
2025-12-25 23:00:00+00:00,106.45
