,datetime,price,inflow,outflow,charge
85,2025-05-25 19:15:00+00:00,111.8075,0.0,2.1320071635561044,1.2660035817780522
86,2025-05-25 19:30:00+00:00,108.615,0.0,2.1320071635561044,0.7330017908890261
87,2025-05-25 19:45:00+00:00,105.4225,0.0,2.1320071635561044,0.2
88,2025-05-25 20:00:00+00:00,102.23,0.0,0.0,0.2
89,2025-05-25 20:15:00+00:00,99.9025,0.0,-0.0,0.2
90,2025-05-25 20:30:00+00:00,97.575,0.0,-0.0,0.2
91,2025-05-25 20:45:00+00:00,95.2475,0.0,-0.0,0.2
92,2025-05-25 21:00:00+00:00,92.92,0.0,-0.0,0.2
93,2025-05-25 21:15:00+00:00,90.4325,0.0,-0.0,0.2
94,2025-05-25 21:30:00+00:00,87.945,0.0,-0.0,0.2
95,2025-05-25 21:45:00+00:00,85.4575,0.0,-0.0,0.2
96,2025-05-25 22:00:00+00:00,82.97,0.0,0.0,0.2
