,datetime,price,inflow,outflow,charge
0,2024-12-31 23:00:00+00:00,13.62,-0.0,0.0,0.2
1,2024-12-31 23:15:00+00:00,11.775,0.0,0.0,0.2
2,2024-12-31 23:30:00+00:00,9.93,0.0,0.0,0.2
3,2024-12-31 23:45:00+00:00,8.085,0.0,0.0,0.2
4,2025-01-01 00:00:00+00:00,6.24,0.0,0.0,0.2
5,2025-01-01 00:15:00+00:00,5.720000000000001,0.0,0.0,0.2
6,2025-01-01 00:30:00+00:00,5.2,0.0,0.0,0.2
7,2025-01-01 00:45:00+00:00,4.68,0.0,0.0,0.2
8,2025-01-01 01:00:00+00:00,4.16,0.0,0.0,0.2
9,2025-01-01 01:15:00+00:00,3.94,0.0,0.0,0.2
10,2025-01-01 01:30:00+00:00,3.72,0.0,0.0,0.2
11,2025-01-01 01:45:00+00:00,3.5,0.0,0.0,0.2
12,2025-01-01 02:00:00+00:00,3.28,0.0,0.0,0.2
13,2025-01-01 02:15:00+00:00,2.63,0.0,0.0,0.2
14,2025-01-01 02:30:00+00:00,1.98,0.0,0.0,0.2
15,2025-01-01 02:45:00+00:00,1.33,0.0,0.0,0.2
16,2025-01-01 03:00:00+00:00,0.68,1.3504515776039498,0.0,0.516708968123599
17,2025-01-01 03:15:00+00:00,0.51,2.0,0.0,0.985750544105942
18,2025-01-01 03:30:00+00:00,0.34,2.0,0.0,1.454792120088285
19,2025-01-01 03:45:00+00:00,0.17,2.0,0.0,1.923833696070628
20,2025-01-01 04:00:00+00:00,0.0,2.0,0.0,2.392875272052971
21,2025-01-01 04:15:00+00:00,0.19,2.0,0.0,2.861916848035314
22,2025-01-01 04:30:00+00:00,0.38,2.0,0.0,3.330958424017657
23,2025-01-01 04:45:00+00:00,0.5700000000000001,2.0,0.0,3.8
24,2025-01-01 05:00:00+00:00,0.76,0.0,0.0,3.8
25,2025-01-01 05:15:00+00:00,0.7675000000000001,0.0,0.0,3.8
26,2025-01-01 05:30:00+00:00,0.775,0.0,0.0,3.8
27,2025-01-01 05:45:00+00:00,0.7825,0.0,0.0,3.8
28,2025-01-01 06:00:00+00:00,0.79,0.0,0.0,3.8
29,2025-01-01 06:15:00+00:00,1.065,0.0,0.0,3.8
30,2025-01-01 06:30:00+00:00,1.34,0.0,0.0,3.8
31,2025-01-01 06:45:00+00:00,1.615,0.0,0.0,3.8
32,2025-01-01 07:00:00+00:00,1.89,0.0,0.0,3.8
33,2025-01-01 07:15:00+00:00,3.2925,0.0,0.0,3.8
34,2025-01-01 07:30:00+00:00,4.695,0.0,0.0,3.8
35,2025-01-01 07:45:00+00:00,6.0975,0.0,0.0,3.8
36,2025-01-01 08:00:00+00:00,7.5,0.0,0.0,3.8
37,2025-01-01 08:15:00+00:00,12.455,0.0,0.0,3.8
38,2025-01-01 08:30:00+00:00,17.41,0.0,0.0,3.8
39,2025-01-01 08:45:00+00:00,22.365,0.0,0.0,3.8
40,2025-01-01 09:00:00+00:00,27.32,0.0,0.0,3.8
41,2025-01-01 09:15:00+00:00,29.8625,0.0,0.0,3.8
42,2025-01-01 09:30:00+00:00,32.405,0.0,0.0,3.8
43,2025-01-01 09:45:00+00:00,34.947500000000005,0.0,0.0,3.8
44,2025-01-01 10:00:00+00:00,37.49,0.0,0.0,3.8
45,2025-01-01 10:15:00+00:00,43.1425,0.0,0.0,3.8
46,2025-01-01 10:30:00+00:00,48.795,0.0,0.0,3.8
47,2025-01-01 10:45:00+00:00,54.447500000000005,0.0,0.0,3.8
48,2025-01-01 11:00:00+00:00,60.1,0.0,0.0,3.8
49,2025-01-01 11:15:00+00:00,60.905,0.0,0.0,3.8
50,2025-01-01 11:30:00+00:00,61.71,0.0,0.0,3.8
51,2025-01-01 11:45:00+00:00,62.515,0.0,0.0,3.8
52,2025-01-01 12:00:00+00:00,63.32,0.0,0.0,3.8
53,2025-01-01 12:15:00+00:00,59.24,0.0,0.0,3.8
54,2025-01-01 12:30:00+00:00,55.16,0.0,0.0,3.8
55,2025-01-01 12:45:00+00:00,51.08,0.0,0.0,3.8
56,2025-01-01 13:00:00+00:00,47.0,0.0,0.0,3.8
57,2025-01-01 13:15:00+00:00,47.775,0.0,0.0,3.8
58,2025-01-01 13:30:00+00:00,48.55,0.0,0.0,3.8
59,2025-01-01 13:45:00+00:00,49.325,0.0,0.0,3.8
60,2025-01-01 14:00:00+00:00,50.1,0.0,0.0,3.8
61,2025-01-01 14:15:00+00:00,44.485,0.0,0.0,3.8
62,2025-01-01 14:30:00+00:00,38.870000000000005,0.0,0.0,3.8
63,2025-01-01 14:45:00+00:00,33.255,0.0,0.0,3.8
64,2025-01-01 15:00:00+00:00,27.64,0.0,0.0,3.8
65,2025-01-01 15:15:00+00:00,40.7225,0.0,0.0,3.8
66,2025-01-01 15:30:00+00:00,53.805,0.0,0.0,3.8
67,2025-01-01 15:45:00+00:00,66.8875,0.0,0.0,3.8
68,2025-01-01 16:00:00+00:00,79.97,0.0,0.0,3.8
69,2025-01-01 16:15:00+00:00,83.72749999999999,0.0,0.0,3.8
70,2025-01-01 16:30:00+00:00,87.485,0.0,0.0,3.8
71,2025-01-01 16:45:00+00:00,91.2425,0.0,0.0,3.8
72,2025-01-01 17:00:00+00:00,95.0,0.0,-0.0,3.8
73,2025-01-01 17:15:00+00:00,95.0,0.0,0.0,3.8
74,2025-01-01 17:30:00+00:00,95.0,0.0,0.0,3.8
75,2025-01-01 17:45:00+00:00,95.0,0.0,0.0,3.8
76,2025-01-01 18:00:00+00:00,95.0,0.0,0.0,3.8
77,2025-01-01 18:15:00+00:00,91.6225,0.0,0.0,3.8
78,2025-01-01 18:30:00+00:00,88.245,0.0,0.0,3.8
79,2025-01-01 18:45:00+00:00,84.86749999999999,0.0,0.0,3.8
80,2025-01-01 19:00:00+00:00,81.49,0.0,0.0,3.8
81,2025-01-01 19:15:00+00:00,78.35749999999999,0.0,0.0,3.8
