date,profit
2025-01-01,28.409160407103606
2025-01-02,0.0
2025-01-03,28.031161095724684
2025-01-04,0.0
2025-01-05,0.0
2025-01-06,114.32598816844072
2025-01-07,254.6170104468966
2025-01-08,55.29757010626527
2025-01-09,0.0
2025-01-10,0.0
2025-01-11,0.0
2025-01-12,0.0
2025-01-13,18.533263368451944
2025-01-14,1.3804817288779265
2025-01-15,450.91171619634474
2025-01-16,0.0
2025-01-17,4.436220365241557
2025-01-18,0.0
2025-01-19,0.0
2025-01-20,1151.6846296426904
2025-01-21,189.83031540876644
2025-01-22,15.852638368451949
2025-01-23,0.0
2025-01-24,0.0
2025-01-25,0.0
2025-01-26,0.0
2025-01-27,27.16167469727283
2025-01-28,0.0
2025-01-29,12.35586960706281
2025-01-30,0.0
2025-01-31,0.0
2025-02-01,0.0
2025-02-02,0.0
2025-02-03,19.25306327914801
2025-02-04,0.0
2025-02-05,0.0
2025-02-06,0.0
2025-02-07,0.0
2025-02-08,0.0
2025-02-09,0.0
2025-02-10,0.0
2025-02-11,41.75130372041713
2025-02-12,0.0
2025-02-13,0.0
2025-02-14,143.8265002277854
2025-02-15,0.0
2025-02-16,0.0
2025-02-17,113.99565865751497
2025-02-18,0.0
2025-02-19,0.0
2025-02-20,0.0
2025-02-21,0.0
2025-02-22,61.932181115183845
2025-02-23,49.89398472386428
2025-02-24,180.93018138213975
2025-02-25,56.05257992219585
2025-02-26,0.0
2025-02-27,0.0
2025-02-28,0.0
2025-03-01,0.0
2025-03-02,192.82849222193482
2025-03-03,303.6266829143789
2025-03-04,261.0057411829612
2025-03-05,256.4708889348865
2025-03-06,218.65604890815706
2025-03-07,269.4084031507528
2025-03-08,194.86827555169998
2025-03-09,197.72236319198896
2025-03-10,0.0
2025-03-11,0.0
2025-03-12,0.0
2025-03-13,0.0
2025-03-14,0.0
2025-03-15,0.0
2025-03-16,186.24328161671912
2025-03-17,252.25664278498562
2025-03-18,264.521545972959
2025-03-19,434.6540219349003
2025-03-20,494.20592270026685
2025-03-21,60.622350201650555
2025-03-22,279.8609523673783
2025-03-23,155.07015275435342
2025-03-24,14.279619607062834
2025-03-25,1.2532658197870097
2025-03-26,0.0
2025-03-27,208.54767757303838
2025-03-28,242.36783732161817
2025-03-29,160.30694136565032
2025-03-30,126.64122551523259
2025-03-31,279.50585302456517
2025-04-01,249.76767492323097
2025-04-02,289.8355002893557
2025-04-03,281.0901698318439
2025-04-04,175.103357386936
2025-04-05,258.09969556828975
2025-04-06,537.6174814782275
2025-04-07,207.88536584967864
2025-04-08,169.19760696905266
2025-04-09,124.95618896309685
2025-04-10,147.44295172801668
2025-04-11,207.77303648341683
2025-04-12,343.58635764852085
2025-04-13,166.79430210386073
2025-04-14,43.33519273529866
2025-04-15,140.46138683669776
2025-04-16,90.5767504191507
2025-04-17,0.0
2025-04-18,0.0
2025-04-19,158.55356425735323
2025-04-20,367.7119118471448
2025-04-21,135.59040936866958
2025-04-22,175.9514786266192
2025-04-23,0.0
2025-04-24,0.0
2025-04-25,0.0
2025-04-26,166.22040412276465
2025-04-27,769.3887597264552
2025-04-28,304.645330229798
2025-04-29,208.28899370278558
2025-04-30,254.47645673257824
2025-05-01,712.41058173788
2025-05-02,160.51588643546694
2025-05-03,25.883740633475956
2025-05-04,105.81694192962976
2025-05-05,100.59924972178734
2025-05-06,96.64765304797614
2025-05-07,0.8117885470597281
2025-05-08,73.82052770681143
2025-05-09,200.89038458669052
2025-05-10,609.7729039168846
2025-05-11,1391.1583595408545
2025-05-12,420.1384596391391
2025-05-13,384.67134777977145
2025-05-14,369.15393151911263
2025-05-15,248.80415189281078
2025-05-16,277.7712927478906
2025-05-17,201.12536228980002
2025-05-18,173.60601525826553
2025-05-19,266.35689844680377
2025-05-20,238.90351522066857
2025-05-21,158.2868955902005
2025-05-22,192.94520600387995
2025-05-23,145.60924127820851
2025-05-24,66.81162331962543
2025-05-25,196.9069787924171
2025-05-26,217.86802489587402
2025-05-27,153.1949187779983
2025-05-28,65.81176744988801
2025-05-29,8.946475788801974
2025-05-30,205.79670623896132
2025-05-31,386.5467854763178
2025-06-01,143.62826225162584
2025-06-02,378.9042341103034
2025-06-03,126.45912329277044
2025-06-04,117.2629179877093
2025-06-05,84.88468222165878
2025-06-06,156.97139455068728
2025-06-07,138.09071205027632
2025-06-08,316.67511959235634
2025-06-09,249.00076018639083
2025-06-10,106.58400367358394
2025-06-11,364.0370382869037
2025-06-12,244.19579462943256
2025-06-13,130.80861436828684
2025-06-14,211.73207058144752
2025-06-15,194.0563945130903
2025-06-16,330.7536994898306
2025-06-17,498.2592540277431
2025-06-18,255.6329996886703
2025-06-19,225.48944469492605
2025-06-20,332.6793941417639
2025-06-21,348.83255527092746
2025-06-22,199.7181570389884
2025-06-23,230.91692324937574
2025-06-24,138.37773189233397
2025-06-25,445.78020674153817
2025-06-26,0.0
2025-06-27,111.13241490533609
2025-06-28,126.6127558919048
2025-06-29,201.14817308465695
2025-06-30,588.8357779052116
2025-07-01,1176.4934532008485
2025-07-02,526.5562421302765
2025-07-03,221.24278339173227
2025-07-04,179.40082538064388
2025-07-05,108.9406532835971
2025-07-06,97.85473061917001
2025-07-07,61.649059467280104
2025-07-08,0.0
2025-07-09,43.079970299771624
2025-07-10,14.187393528475399
2025-07-11,5.108774732088296
2025-07-12,140.28622744889066
2025-07-13,140.5374354619492
2025-07-14,0.0
2025-07-15,74.03648290391303
2025-07-16,0.0
2025-07-17,0.0
2025-07-18,0.0
2025-07-19,111.97939637797974
2025-07-20,126.00411635492713
2025-07-21,0.0
2025-07-22,80.8051648799117
2025-07-23,0.0
2025-07-24,0.0
2025-07-25,0.0
2025-07-26,0.0
2025-07-27,44.18947240959336
2025-07-28,0.0
2025-07-29,142.26962943943371
2025-07-30,34.281745508945455
2025-07-31,6.630933822997395
2025-08-01,0.0
2025-08-02,94.87493970790811
2025-08-03,80.84684649621691
2025-08-04,0.0
2025-08-05,143.86280860430688
2025-08-06,281.6305438885617
2025-08-07,121.49727771863252
2025-08-08,205.84380727260154
2025-08-09,184.49238478166512
2025-08-10,349.07205103911133
2025-08-11,280.0263563030242
2025-08-12,207.50559665467375
2025-08-13,269.7605053069809
2025-08-14,354.19336307865854
2025-08-15,120.61343543455463
2025-08-16,61.4280475293552
2025-08-17,78.04225926844035
2025-08-18,201.2219622364792
2025-08-19,98.96511523717064
2025-08-20,2.3367317288779215
2025-08-21,0.0
2025-08-22,0.0
2025-08-23,115.71631378522028
2025-08-24,129.45684215447108
2025-08-25,257.6775365503786
2025-08-26,124.37608411301412
2025-08-27,141.4019431641176
2025-08-28,0.0
2025-08-29,0.0
2025-08-30,107.79635775146085
2025-08-31,141.40912530340452
2025-09-01,191.22872159692935
2025-09-02,0.0
2025-09-03,63.66890593143433
2025-09-04,293.7055745880822
2025-09-05,0.0
2025-09-06,179.4388778398814
2025-09-07,272.6139854346675
2025-09-08,592.7264768192169
2025-09-09,533.5837262252162
2025-09-10,111.63574454400748
2025-09-11,128.15658118855808
2025-09-12,203.615132383052
2025-09-13,82.25871435113231
2025-09-14,133.37704333227484
2025-09-15,32.62952897136681
2025-09-16,120.87096148235649
2025-09-17,1.7866739214125626
2025-09-18,136.22494060132524
2025-09-19,732.9153020567892
2025-09-20,115.83441244513226
2025-09-21,102.04503972208852
2025-09-22,11.83432176423771
2025-09-23,0.0
2025-09-24,93.86130187898179
2025-09-25,109.16538422054688
2025-09-26,0.0
2025-09-27,30.98746546257139
2025-09-28,120.90916592873629
2025-09-29,468.94796702784777
2025-09-30,394.78049183973707
2025-10-01,603.9869737611332
2025-10-02,99.72817793104376
2025-10-03,0.0
2025-10-04,20.81421286704405
2025-10-05,17.58583673810004
2025-10-06,229.20864662434272
2025-10-07,346.1049334308814
2025-10-08,89.96186764599477
2025-10-09,0.0
2025-10-10,0.0
2025-10-11,0.0
2025-10-12,0.0
