datetime,price,inflow,outflow,charge
2025-06-30 22:00:00+00:00,111.28,-0.0,0.0,0.2
2025-06-30 22:15:00+00:00,107.3075,0.0,0.0,0.2
2025-06-30 22:30:00+00:00,103.335,0.0,0.0,0.2
2025-06-30 22:45:00+00:00,99.3625,0.0,0.0,0.2
2025-06-30 23:00:00+00:00,95.39,0.0,0.0,0.2
2025-06-30 23:15:00+00:00,93.8175,0.0,0.0,0.2
2025-06-30 23:30:00+00:00,92.245,0.0,0.0,0.2
2025-06-30 23:45:00+00:00,90.6725,0.0,0.0,0.2
2025-07-01 00:00:00+00:00,89.1,0.0,0.0,0.2
2025-07-01 00:15:00+00:00,88.84,0.0,0.0,0.2
2025-07-01 00:30:00+00:00,88.58,0.0,0.0,0.2
2025-07-01 00:45:00+00:00,88.32,0.0,0.0,0.2
2025-07-01 01:00:00+00:00,88.06,0.0,0.0,0.2
2025-07-01 01:15:00+00:00,88.5475,0.0,0.0,0.2
2025-07-01 01:30:00+00:00,89.035,0.0,0.0,0.2
2025-07-01 01:45:00+00:00,89.52250000000001,0.0,0.0,0.2
2025-07-01 02:00:00+00:00,90.01,0.0,0.0,0.2
2025-07-01 02:15:00+00:00,91.6625,0.0,0.0,0.2
2025-07-01 02:30:00+00:00,93.315,0.0,0.0,0.2
2025-07-01 02:45:00+00:00,94.9675,0.0,0.0,0.2
2025-07-01 03:00:00+00:00,96.62,0.0,0.0,0.2
2025-07-01 03:15:00+00:00,101.2075,0.0,0.0,0.2
2025-07-01 03:30:00+00:00,105.795,0.0,0.0,0.2
2025-07-01 03:45:00+00:00,110.3825,0.0,0.0,0.2
2025-07-01 04:00:00+00:00,114.97,0.0,0.0,0.2
2025-07-01 04:15:00+00:00,116.2525,0.0,0.0,0.2
2025-07-01 04:30:00+00:00,117.535,0.0,0.0,0.2
2025-07-01 04:45:00+00:00,118.8175,0.0,0.0,0.2
2025-07-01 05:00:00+00:00,120.1,0.0,0.0,0.2
2025-07-01 05:15:00+00:00,118.645,0.0,0.0,0.2
2025-07-01 05:30:00+00:00,117.19,0.0,0.0,0.2
2025-07-01 05:45:00+00:00,115.735,0.0,0.0,0.2
2025-07-01 06:00:00+00:00,114.28,0.0,0.0,0.2
2025-07-01 06:15:00+00:00,108.635,0.0,0.0,0.2
2025-07-01 06:30:00+00:00,102.99,0.0,0.0,0.2
2025-07-01 06:45:00+00:00,97.345,0.0,0.0,0.2
2025-07-01 07:00:00+00:00,91.7,0.0,0.0,0.2
2025-07-01 07:15:00+00:00,91.3025,0.0,0.0,0.2
2025-07-01 07:30:00+00:00,90.905,0.0,0.0,0.2
2025-07-01 07:45:00+00:00,90.5075,0.0,0.0,0.2
2025-07-01 08:00:00+00:00,90.11,0.0,0.0,0.2
2025-07-01 08:15:00+00:00,86.03,0.0,0.0,0.2
